name,SLOC,Category,Languages
tower-rs/tower-http,14757,Medium,Rust (14757)
zmwangx/rust-ffmpeg,14707,Medium,Rust (14707)
EmbarkStudios/cargo-deny,14457,Medium,Rust (14457)
Marwes/combine,14350,Medium,Rust (14350)
HigherOrderCO/Bend,14274,Medium,Rust (14274)
suptejas/volt,14122,Medium,Rust (14122)
zkat/miette,13866,Medium,Rust (13866)
Abraxas-365/langchain-rust,13691,Medium,Rust (13691)
paritytech/jsonrpc,13556,Medium,Rust (13556)
dimforge/bevy_rapier,13552,Medium,Rust (13552)
3Hren/msgpack-rust,13450,Medium,Rust (13450)
amethyst/legion,13426,Medium,Rust (13426)
kkawakam/rustyline,13307,Medium,Rust (13307)
osa1/tiny,13245,Medium,Rust (13245)
sourcefrog/cargo-mutants,13035,Medium,Rust (13035)
cessen/ropey,12975,Medium,Rust (12975)
bodil/im-rs,12957,Medium,Rust (12957)
tqwewe/kameo,12895,Medium,Rust (12895)
Leafwing-Studios/leafwing-input-manager,12850,Medium,Rust (12850)
jamesmunns/postcard,12825,Medium,Rust (12825)
linebender/kurbo,12663,Medium,Rust (12663)
bastion-rs/bastion,12451,Medium,Rust (12451)
paupino/rust-decimal,12448,Medium,Rust (12448)
BurntSushi/aho-corasick,12432,Medium,Rust (12432)
heim-rs/heim,12337,Medium,Rust (12337)
databricks/click,12224,Medium,Rust (12224)
rust-av/Av1an,12216,Medium,Rust (12216)
ozkriff/zemeroth,12212,Medium,Rust (12212)
rust-cv/cv,12076,Medium,Rust (12076)
mrjackwills/oxker,12048,Medium,Rust (12048)
tesselode/kira,11948,Medium,Rust (11948)
vincent-herlemont/native_db,11828,Medium,Rust (11828)
rust-lang/hashbrown,11679,Medium,Rust (11679)
linebender/runebender,11665,Medium,Rust (11665)
asomers/mockall,11640,Medium,Rust (11640)
TimelyDataflow/timely-dataflow,11569,Medium,Rust (11569)
taiki-e/pin-project,11528,Medium,Rust (11528)
Julien-cpsn/ATAC,11414,Medium,Rust (11414)
chinedufn/percy,11409,Medium,Rust (11409)
8051Enthusiast/biodiff,11390,Medium,Rust (11390)
rajasekarv/vega,11334,Medium,Rust (11334)
pdf-rs/pdf,11320,Medium,Rust (11320)
tafia/calamine,11260,Medium,Rust (11260)
RustCrypto/traits,11006,Medium,Rust (11006)
rxRust/rxRust,10865,Medium,Rust (10865)
Rigellute/spotify-tui,10824,Medium,Rust (10824)
indexmap-rs/indexmap,10704,Medium,Rust (10704)
mikaelmello/inquire,10674,Medium,Rust (10674)
TedDriggs/darling,10645,Medium,Rust (10645)
rust-embedded/heapless,10604,Medium,Rust (10604)
greyblake/nutype,10569,Medium,Rust (10569)
orium/rpds,10497,Medium,Rust (10497)
dtolnay/serde-yaml,10445,Medium,Rust (10445)
RustAudio/rodio,10369,Medium,Rust (10369)
amqp-rs/lapin,10215,Medium,Rust (10215)
Amanieu/parking_lot,10098,Medium,Rust (10098)
vi/websocat,10060,Medium,Rust (10060)
gltf-rs/gltf,9892,Small,Rust (9892)
sciter-sdk/rust-sciter,9842,Small,Rust (9842)
ZenGo-X/multi-party-ecdsa,9763,Small,Rust (9763)
bee-san/Ares,9756,Small,Rust (9756)
toml-rs/toml-rs,9722,Small,Rust (9722)
casbin/casbin-rs,9658,Small,Rust (9658)
narrowlink/narrowlink,9587,Small,Rust (9587)
matthiaskrgr/cargo-cache,9505,Small,Rust (9505)
hyperium/http,9501,Small,Rust (9501)
mdeloof/statig,9469,Small,Rust (9469)
nvzqz/divan,9415,Small,Rust (9415)
tower-rs/tower,9409,Small,Rust (9409)
typst/pdf-writer,9403,Small,Rust (9403)
