name,repo,language,sloc
fishnet,lichess-org/fishnet,Rust,4299
smartcore,smartcorelib/smartcore,Rust,25414
arboard,1Password/arboard,Rust,2818
jsonrpc,paritytech/jsonrpc,Rust,13556
renet,lucaspoffo/renet,Rust,7726
nanoserde,not-fl3/nanoserde,Rust,8962
felix,kyoheiu/felix,Rust,6330
rust-esp32-std-demo,ivmarkov/rust-esp32-std-demo,Rust,1190
minesweeper-rs,robmikh/minesweeper-rs,Rust,1303
window-vibrancy,tauri-apps/window-vibrancy,Rust,745
tower-http,tower-rs/tower-http,Rust,14757
bevy_ecs_ldtk,Trouv/bevy_ecs_ldtk,Rust,8735
steamguard-cli,dyc3/steamguard-cli,Rust,7396
svd2rust,rust-embedded/svd2rust,Rust,7761
xcap,nashaofu/xcap,Rust,3990
swash,dfrg/swash,Rust,22774
Spartan,microsoft/Spartan,Rust,6877
akula,akula-bft/akula,Rust,41107
papaya,ibraheemdev/papaya,Rust,6402
Figment,SergioBenitez/Figment,Rust,4359
lowfi,talwat/lowfi,Rust,1856
heed,meilisearch/heed,Rust,7869
password-hashes,RustCrypto/password-hashes,Rust,7030
advent-of-code-rust,fspoettel/advent-of-code-rust,Rust,1396
elliptic-curves,RustCrypto/elliptic-curves,Rust,161078
erased-serde,dtolnay/erased-serde,Rust,3407
binance-rs,ccxt/binance-rs,Rust,7053
Nova,microsoft/Nova,Rust,22700
rustcat,robiot/rustcat,Rust,354
ultraviolet,fu5ha/ultraviolet,Rust,8849
jsonrpsee,paritytech/jsonrpsee,Rust,19787
serde_with,jonasbb/serde_with,Rust,26760
bevy_prototype_lyon,Nilirad/bevy_prototype_lyon,Rust,1592
h3,hyperium/h3,Rust,16743
twilight,twilight-rs/twilight,Rust,80502
runebender,linebender/runebender,Rust,11665
xshell,matklad/xshell,Rust,2035
governor,boinkor-net/governor,Rust,3399
rowan,rust-analyzer/rowan,Rust,4199
object,gimli-rs/object,Rust,48559
Ares,bee-san/Ares,Rust,9756
cargo-auditable,rust-secure-code/cargo-auditable,Rust,2848
tui-realm,veeso/tui-realm,Rust,9227
voyager,mattsse/voyager,Rust,1659
binrw,jam1garner/binrw,Rust,15461
reflect,dtolnay/reflect,Rust,3012
kubectl-view-allocations,davidB/kubectl-view-allocations,Rust,1446
kiro-editor,rhysd/kiro-editor,Rust,4856
git-graph,mlange-42/git-graph,Rust,3208
minitrace-rust,tikv/minitrace-rust,Rust,6025
mockito,lipanski/mockito,Rust,3487
garde,jprochazk/garde,Rust,6537
halp,orhun/halp,Rust,1073
serpl,yassinebridi/serpl,Rust,4706
font-kit,servo/font-kit,Rust,6924
cargo-hack,taiki-e/cargo-hack,Rust,5674
cargo-instruments,cmyr/cargo-instruments,Rust,760
lru-rs,jeromefroe/lru-rs,Rust,1607
wiremock-rs,LukeMathWalker/wiremock-rs,Rust,2408
owo-colors,owo-colors/owo-colors,Rust,3221
dirs-rs,dirs-dev/dirs-rs,Rust,202
dyn-clone,dtolnay/dyn-clone,Rust,287
avbroot,chenxiaolong/avbroot,Rust,21894
ruduino,avr-rust/ruduino,Rust,20601
iocraft,ccbrown/iocraft,Rust,8201
always-online-stun,pradt2/always-online-stun,Rust,1168
indoc,dtolnay/indoc,Rust,813
progenitor,oxidecomputer/progenitor,Rust,148383
statrs,statrs-dev/statrs,Rust,18800
hck,sstadick/hck,Rust,2505
block-ciphers,RustCrypto/block-ciphers,Rust,14830
zip-old,zip-rs/zip-old,Rust,4853
parry,dimforge/parry,Rust,43202
thunder,0x676e67/thunder,Rust,1564
typify,oxidecomputer/typify,Rust,26408
gl-rs,rust-windowing/gl-rs,Rust,3354
ed25519-dalek,dalek-cryptography/ed25519-dalek,Rust,2123
sendme,n0-computer/sendme,Rust,1076
statig,mdeloof/statig,Rust,9469
async-stream,tokio-rs/async-stream,Rust,866
prettyplease,dtolnay/prettyplease,Rust,91470
topngx,gsquire/topngx,Rust,499
std-training,esp-rs/std-training,Rust,1366
cargo-pgo,Kobzol/cargo-pgo,Rust,2172
generational-arena,fitzgen/generational-arena,Rust,1462
nomino,yaa110/nomino,Rust,1569
Peng,makeecat/Peng,Rust,2178
adsb_deku,rsadsb/adsb_deku,Rust,4841
tar-rs,alexcrichton/tar-rs,Rust,5658
agate,mbrubeck/agate,Rust,1387
pcap2socks,zhxie/pcap2socks,Rust,6367
traits,RustCrypto/traits,Rust,11006
pin-project,taiki-e/pin-project,Rust,11528
polling,smol-rs/polling,Rust,5047
glfw-rs,PistonDevelopers/glfw-rs,Rust,3860
chili,dragostis/chili,Rust,768
reedline,nushell/reedline,Rust,15710
pubgrub,pubgrub-rs/pubgrub,Rust,5488
ytui-music,sudipghimire533/ytui-music,Rust,3246
Plonky3,Plonky3/Plonky3,Rust,43810
libcosmic,pop-os/libcosmic,Rust,37495
fast_rsync,dropbox/fast_rsync,Rust,1917
mimalloc_rust,purpleprotocol/mimalloc_rust,Rust,567
ruma,ruma/ruma,Rust,81976
cacache-rs,zkat/cacache-rs,Rust,3824
ryu,dtolnay/ryu,Rust,2992
systemstat,valpackett/systemstat,Rust,3484
Peroxide,Axect/Peroxide,Rust,24470
httparse,seanmonstar/httparse,Rust,6443
docuum,stepchowfun/docuum,Rust,1482
relly,KOBA789/relly,Rust,1900
probe-run,knurling-rs/probe-run,Rust,2639
