name,Has Tests (static),Tests in CI (configured),Tests in CI (recent runs),Coverage in CI (configured),Coverage Tool (configured),Test Tool (guess),Test Evidence,Coverage Latest (%),Coverage Mean (%),Coverage Best (%),Coverage Samples,Method,Latest Run ID,Latest Run Date
wiki-tui,No,Yes,Yes,Yes,cargo,cargo,jobs/workflow,,,,0,,17641519980,2025-09-11T10:20:52Z
httpmock,Yes,Yes,No,Yes,cargo/codecov,cargo,files/workflow,,,,0,,17547060914,2025-09-08T10:01:36Z
ripdrag,No,No,No,Yes,cargo,,workflow,,,,0,,,
tgt,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17551374444,2025-09-08T12:50:25Z
huff-rs,No,Yes,Yes,Yes,cargo,cargo,jobs/workflow,,,,0,,11430209677,2024-10-20T22:37:54Z
stgit,No,Yes,Yes,Yes,upload-artifact,,jobs/workflow,,,,0,,17544004873,2025-09-08T08:03:59Z
frontier,No,Yes,Yes,Yes,cargo,,jobs/workflow,,,,0,,17635882100,2025-09-11T06:20:08Z
b,Yes,No,No,No,,cargo,files,,,,0,,17220576955,2025-08-25T20:57:56Z
packet,No,No,No,No,,,,,,,0,,17400083686,2025-09-02T10:02:18Z
plonk,Yes,Yes,Yes,Yes,codecov,cargo,files/jobs/workflow,,,,0,,13178871683,2025-02-06T12:33:40Z
raft-engine,Yes,No,Yes,Yes,codecov/grcov/instrument-coverage/report-file,cargo,files/jobs/workflow,,,,0,,16236687192,2025-07-12T09:33:45Z
ammonia,Yes,Yes,Yes,No,,cargo,files/jobs/logs/workflow,,,,0,,17559837141,2025-09-08T18:05:26Z
aderyn,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17573065165,2025-09-09T05:47:41Z
rust-s3,No,Yes,No,No,,,workflow,,,,0,,14917754887,2025-05-08T23:03:09Z
jito-solana,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17650312016,2025-09-11T16:02:06Z
LibreQoS,No,Yes,Yes,Yes,upload-artifact,pytest,jobs/workflow,,,,0,,17651287422,2025-09-11T16:42:00Z
doctave,Yes,Yes,No,Yes,cargo/upload-artifact,cargo,files/workflow,,,,0,,,
intermodal,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,15861757260,2025-06-24T21:20:48Z
smithy-rs,No,Yes,Yes,Yes,upload-artifact,,jobs/workflow,,,,0,,17650375238,2025-09-11T16:04:31Z
tui-journal,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17433475208,2025-09-03T12:30:02Z
aidoku-community-sources,No,Yes,Yes,Yes,upload-artifact,,jobs/workflow,,,,0,,17616124923,2025-09-10T13:56:30Z
serde-wasm-bindgen,Yes,No,Yes,No,,cargo,files/jobs,,,,0,,16499706079,2025-07-24T14:28:43Z
async-stripe,Yes,Yes,No,Yes,codecov/llvm-cov/llvm-tools/report-file/upload-artifact,cargo,files/workflow,,,,0,,17480178279,2025-09-05T00:31:00Z
nurl,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,15365457363,2025-05-31T16:21:38Z
tex-fmt,Yes,Yes,No,Yes,upload-artifact,cargo,files/workflow,,,,0,,17426236342,2025-09-03T07:25:54Z
backtrace-rs,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17291882311,2025-08-28T09:35:14Z
parinfer-rust,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,15469207202,2025-06-05T14:07:42Z
cushy,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17462166565,2025-09-04T11:19:18Z
webauthn-rs,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17508189292,2025-09-06T01:34:27Z
pinocchio,No,Yes,Yes,No,,jest,jobs/workflow,,,,0,,17651486242,2025-09-11T16:50:33Z
systemfd,No,Yes,Yes,Yes,upload-artifact,,jobs/workflow,,,,0,,12903237783,2025-01-22T07:23:15Z
teip,Yes,Yes,No,Yes,upload-artifact,cargo,files/workflow,,,,0,,,
quaint,No,Yes,No,No,,cargo,workflow,,,,0,,,
rust-tun,No,Yes,No,No,,,workflow,,,,0,,17627019922,2025-09-10T21:14:50Z
zsh-yarn-autocompletions,No,Yes,No,No,,cargo,workflow,,,,0,,,
teaching-material,No,No,No,Yes,upload-artifact,,workflow,,,,0,,,
git-stack,Yes,Yes,Yes,Yes,coveralls/llvm-tools/tarpaulin,cargo,files/jobs/workflow,,,,0,,17525502942,2025-09-07T07:22:55Z
zeronsd,Yes,Yes,Yes,No,,cargo,files/jobs/logs/workflow,,,,0,,16272011401,2025-07-14T16:11:01Z
ringrtc,No,Yes,Yes,Yes,upload-artifact,jest,jobs/workflow,,,,0,,17638872742,2025-09-11T08:33:38Z
sidecar,No,No,No,No,,,,,,,0,,15010311566,2025-05-14T01:36:58Z
Tran,No,No,No,No,,,,,,,0,,17644084780,2025-09-11T12:11:58Z
zstd-rs,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,17643903992,2025-09-11T12:04:55Z
abscissa,No,Yes,No,Yes,cargo,cargo,workflow,,,,0,,17630122398,2025-09-11T00:15:58Z
egglog,Yes,No,Yes,Yes,llvm-tools/upload-artifact,cargo,files/jobs/workflow,,,,0,,17649130892,2025-09-11T15:16:02Z
pier,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,11343457043,2024-10-15T09:41:44Z
GModPatchTool,No,No,No,No,,,,,,,0,,17334112197,2025-08-29T20:57:40Z
parity-signer,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17632293765,2025-09-11T02:34:58Z
node-bindgen,No,Yes,Yes,No,,,jobs/workflow,,,,0,,12830552904,2025-01-17T14:03:04Z
fastembed-rs,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17537925485,2025-09-08T02:32:45Z
optimization-engine,Yes,Yes,No,Yes,cargo,cargo,files/workflow,,,,0,,17562092665,2025-09-08T19:39:24Z
egui_graphs,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17178514601,2025-08-23T18:03:12Z
ad,Yes,Yes,Yes,Yes,llvm-tools,cargo,files/jobs/workflow,,,,0,,17636056016,2025-09-11T06:28:16Z
canvas,No,Yes,Yes,Yes,llvm-tools/upload-artifact,cargo,jobs/workflow,,,,0,,17632378619,2025-09-11T02:40:18Z
tinymist,Yes,Yes,Yes,Yes,llvm-tools/upload-artifact,jest,files/jobs/workflow,,,,0,,17651497177,2025-09-11T16:50:59Z
floneum,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17645867131,2025-09-11T13:19:28Z
facet,No,No,Yes,Yes,coveralls/llvm-cov/llvm-tools/report-file,,jobs/workflow,,,,0,,17652768969,2025-09-11T17:45:20Z
pixels,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17521126260,2025-09-07T00:00:03Z
sbtc-developer-release,No,Yes,Yes,Yes,codecov/report-file/upload-artifact,,jobs/workflow,,,,0,,12139281327,2024-12-03T12:06:25Z
doxx,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,17574167319,2025-09-09T06:44:24Z
chalk,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17521452918,2025-09-07T00:30:12Z
plane,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17651467563,2025-09-11T16:49:40Z
fst,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17631322478,2025-09-11T01:32:07Z
rustc_codegen_clr,Yes,Yes,No,Yes,llvm-tools,cargo,files/workflow,,,,0,,15583427116,2025-06-11T11:18:00Z
sad,Yes,No,No,Yes,upload-artifact,cargo,files/workflow,,,,0,,17631686619,2025-09-11T01:56:19Z
wsl-distrod,No,Yes,No,Yes,upload-artifact,,workflow,,,,0,,,
fuso,No,No,No,Yes,cargo/upload-artifact,,workflow,,,,0,,14320173144,2025-04-07T21:49:04Z
pavex,No,Yes,No,Yes,llvm-tools/upload-artifact,cargo,workflow,,,,0,,17643971960,2025-09-11T12:07:35Z
StyLua,Yes,Yes,Yes,Yes,codecov/grcov/instrument-coverage/llvm-cov/llvm-tools/report-file/upload-artifact,cargo,files/jobs/workflow,,,,0,,17631709345,2025-09-11T01:57:54Z
steel,No,Yes,No,Yes,cargo/coveralls/report-file/tarpaulin/upload-artifact,cargo,workflow,,,,0,,17649925918,2025-09-11T15:45:46Z
blueboat,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,,
prisma-client-rust,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,13806705581,2025-03-12T08:19:14Z
