Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
ccbrown/iocraft,https://github.com/ccbrown/ccbrown/iocraft,2024-09-02T03:39:17Z,2024-09-17,0,12,75,50,6,Yes,298,23
orhun/halp,https://github.com/orhun/orhun/halp,2023-03-07T20:30:32Z,2024-07-18,16,30,338,17,8,Yes,561,471
chenxiaolong/avbroot,https://github.com/chenxiaolong/chenxiaolong/avbroot,2022-06-25T23:13:24Z,2024-07-14,25,38,314,164,7,Yes,619,14
dtolnay/indoc,https://github.com/dtolnay/dtolnay/indoc,2016-03-19T07:01:28Z,2024-07-15,100,113,32,33,8,Yes,421,11
sstadick/hck,https://github.com/sstadick/sstadick/hck,2021-06-24T13:48:14Z,2024-07-17,37,50,66,30,8,Yes,35,7
zip-rs/zip-old,https://github.com/zip-rs/zip-rs/zip-old,2014-09-07T11:54:21Z,,,132,231,183,75,No,0,0
statrs-dev/statrs,https://github.com/statrs-dev/statrs-dev/statrs,2016-03-11T06:38:50Z,2024-07-18,100,114,184,167,53,Yes,350,176
0x676e67/thunder,https://github.com/0x676e67/0x676e67/thunder,2023-04-14T06:07:21Z,,,28,107,51,5,No,0,0
dimforge/parry,https://github.com/dimforge/dimforge/parry,2020-12-17T17:06:08Z,2024-07-02,42,56,256,112,44,Yes,305,183
rust-windowing/gl-rs,https://github.com/rust-windowing/rust-windowing/gl-rs,2013-01-16T23:05:49Z,2025-08-08,151,151,404,151,77,Yes,6,3
dalek-cryptography/ed25519-dalek,https://github.com/dalek-cryptography/dalek-cryptography/ed25519-dalek,2016-12-08T21:49:17Z,,,105,184,142,40,No,0,0
oxidecomputer/progenitor,https://github.com/oxidecomputer/oxidecomputer/progenitor,2021-06-19T07:37:00Z,2024-07-15,37,50,1010,164,38,Yes,766,96
n0-computer/sendme,https://github.com/n0-computer/n0-computer/sendme,2023-12-12T08:20:28Z,2024-07-22,7,21,62,38,11,Yes,111,18
mdeloof/statig,https://github.com/mdeloof/mdeloof/statig,2021-08-19T20:51:31Z,2025-01-01,40,48,32,39,14,Yes,100,8
tokio-rs/async-stream,https://github.com/tokio-rs/tokio-rs/async-stream,2019-08-10T00:02:12Z,2024-07-21,59,73,76,40,18,Yes,31,40
gsquire/topngx,https://github.com/gsquire/gsquire/topngx,2020-06-08T19:59:51Z,2025-04-05,58,63,8,2,1,Yes,5,2
oxidecomputer/typify,https://github.com/oxidecomputer/oxidecomputer/typify,2021-09-24T07:41:25Z,2024-07-15,34,47,715,164,28,Yes,676,20
dtolnay/prettyplease,https://github.com/dtolnay/dtolnay/prettyplease,2022-01-06T00:12:03Z,2024-07-15,30,44,80,42,4,Yes,574,19
fitzgen/generational-arena,https://github.com/fitzgen/fitzgen/generational-arena,2018-08-21T05:15:32Z,,,84,34,22,17,No,0,0
Kobzol/cargo-pgo,https://github.com/Kobzol/Kobzol/cargo-pgo,2022-07-13T13:56:50Z,2024-07-22,24,37,38,35,8,Yes,31,35
yaa110/nomino,https://github.com/yaa110/yaa110/nomino,2020-04-17T03:23:39Z,2024-11-21,55,64,9,20,4,Yes,34,9
esp-rs/std-training,https://github.com/esp-rs/esp-rs/std-training,2022-01-26T19:12:51Z,2024-07-15,30,43,185,91,29,Yes,517,171
alexcrichton/tar-rs,https://github.com/alexcrichton/alexcrichton/tar-rs,2014-07-17T14:56:29Z,2024-08-07,121,133,210,198,81,Yes,270,23
makeecat/Peng,https://github.com/makeecat/makeecat/Peng,2024-07-07T19:52:02Z,2024-08-01,1,14,32,5,4,Yes,506,23
zhxie/pcap2socks,https://github.com/zhxie/zhxie/pcap2socks,2020-06-06T15:34:02Z,,,63,4,34,3,No,0,0
rsadsb/adsb_deku,https://github.com/rsadsb/rsadsb/adsb_deku,2021-01-20T00:00:46Z,2024-07-15,42,55,261,90,13,Yes,829,261
RustCrypto/block-ciphers,https://github.com/RustCrypto/RustCrypto/block-ciphers,2016-12-16T11:35:26Z,2024-07-15,91,104,381,109,52,Yes,3174,222
mbrubeck/agate,https://github.com/mbrubeck/mbrubeck/agate,2020-05-17T05:16:51Z,2024-07-14,50,63,305,69,24,Yes,1139,17
PistonDevelopers/glfw-rs,https://github.com/PistonDevelopers/PistonDevelopers/glfw-rs,2012-09-15T05:09:59Z,2025-06-05,153,155,414,177,106,Yes,1,1
smol-rs/polling,https://github.com/smol-rs/smol-rs/polling,2020-08-06T13:02:49Z,2024-07-21,47,61,170,79,33,Yes,144,52
dragostis/chili,https://github.com/dragostis/dragostis/chili,2024-08-27T18:12:53Z,2024-09-13,1,12,27,11,4,Yes,65,21
taiki-e/pin-project,https://github.com/taiki-e/taiki-e/pin-project,2019-01-08T14:42:10Z,2024-07-15,66,80,300,62,13,Yes,828,86
sudipghimire533/ytui-music,https://github.com/sudipghimire533/sudipghimire533/ytui-music,2021-08-22T13:09:02Z,2024-11-09,39,48,14,42,8,Yes,0,17
nushell/reedline,https://github.com/nushell/nushell/reedline,2021-02-28T09:42:07Z,2024-07-18,41,54,671,272,114,Yes,386,60
pubgrub-rs/pubgrub,https://github.com/pubgrub-rs/pubgrub-rs/pubgrub,2020-09-11T14:01:40Z,2024-07-15,46,59,266,86,18,Yes,909,51
dropbox/fast_rsync,https://github.com/dropbox/dropbox/fast_rsync,2020-02-28T22:18:28Z,2025-04-21,62,66,20,6,3,Yes,14,0
RustCrypto/elliptic-curves,https://github.com/RustCrypto/RustCrypto/elliptic-curves,2020-01-06T01:08:07Z,2024-07-15,54,68,1194,169,53,Yes,9437,855
purpleprotocol/mimalloc_rust,https://github.com/purpleprotocol/purpleprotocol/mimalloc_rust,2019-06-24T12:22:49Z,2024-07-15,61,74,65,79,26,Yes,285,160
zkat/cacache-rs,https://github.com/zkat/zkat/cacache-rs,2019-05-21T00:35:02Z,2024-11-26,66,75,47,43,18,Yes,4,0
dtolnay/ryu,https://github.com/dtolnay/dtolnay/ryu,2018-07-29T00:58:48Z,2024-07-15,72,85,34,23,8,Yes,426,3
valpackett/systemstat,https://github.com/valpackett/valpackett/systemstat,2016-02-19T12:02:57Z,2024-12-14,106,114,65,63,33,Yes,6,0
Axect/Peroxide,https://github.com/Axect/Axect/Peroxide,2018-04-20T18:38:06Z,2024-07-30,75,88,39,40,25,Yes,77,10
seanmonstar/httparse,https://github.com/seanmonstar/seanmonstar/httparse,2015-02-20T18:35:34Z,2024-09-01,114,126,139,70,49,Yes,139,28
pop-os/libcosmic,https://github.com/pop-os/pop-os/libcosmic,2021-11-13T03:22:29Z,2024-07-15,32,45,665,278,43,Yes,1206,126
KOBA789/relly,https://github.com/KOBA789/KOBA789/relly,2020-12-22T15:49:19Z,,,56,6,6,3,No,0,0
stepchowfun/docuum,https://github.com/stepchowfun/stepchowfun/docuum,2020-01-04T09:52:31Z,2024-07-26,55,68,289,51,21,Yes,49,13
knurling-rs/probe-run,https://github.com/knurling-rs/knurling-rs/probe-run,2020-08-14T08:46:46Z,,,60,252,178,31,No,0,0
lmt-swallow/puppy-browser,https://github.com/lmt-swallow/lmt-swallow/puppy-browser,2021-04-29T06:42:36Z,,,52,12,0,1,No,0,0
retrage/gpt-macro,https://github.com/retrage/retrage/gpt-macro,2023-03-05T13:14:11Z,2024-07-22,17,30,21,1,3,Yes,74,1
someguynamedjosh/ouroboros,https://github.com/someguynamedjosh/someguynamedjosh/ouroboros,2020-09-20T01:04:15Z,2024-07-24,46,59,47,89,30,Yes,0,11
Cretezy/lazyjj,https://github.com/Cretezy/Cretezy/lazyjj,2024-05-21T19:55:32Z,2024-07-25,2,15,90,67,16,Yes,102,135
Plonky3/Plonky3,https://github.com/Plonky3/Plonky3/Plonky3,2023-03-30T05:46:08Z,2024-07-14,16,29,898,101,75,Yes,1467,417
KipData/KiteSQL,https://github.com/KipData/KipData/KiteSQL,2023-06-05T03:53:10Z,2024-07-18,13,27,215,73,18,Yes,219,106
llogiq/mutagen,https://github.com/llogiq/llogiq/mutagen,2018-02-12T17:22:16Z,2024-07-15,77,90,120,92,22,Yes,173,54
aome510/hackernews-TUI,https://github.com/aome510/aome510/hackernews-TUI,2021-02-15T06:36:41Z,2024-10-21,44,54,77,33,13,Yes,6,3
Detegr/rust-ctrlc,https://github.com/Detegr/Detegr/rust-ctrlc,2015-02-15T13:58:29Z,2024-08-05,114,126,79,55,39,Yes,12,4
kornelski/cavif-rs,https://github.com/kornelski/kornelski/cavif-rs,2020-08-26T00:43:20Z,2024-12-26,52,60,23,80,13,Yes,8,1
diwic/dbus-rs,https://github.com/diwic/diwic/dbus-rs,2014-11-23T12:14:49Z,2024-08-01,116,129,193,263,93,Yes,21,10
a16z/magi,https://github.com/a16z/a16z/magi,2023-02-15T01:50:00Z,2024-08-13,18,30,198,70,24,Yes,4,0
softprops/shiplift,https://github.com/softprops/softprops/shiplift,2015-03-26T03:15:20Z,,,125,200,130,63,No,0,0
nvzqz/static-assertions,https://github.com/nvzqz/nvzqz/static-assertions,2017-08-12T18:02:22Z,,,96,17,44,5,No,0,0
Fullstop000/wickdb,https://github.com/Fullstop000/Fullstop000/wickdb,2019-01-25T02:29:56Z,,,79,85,27,10,No,0,0
dtolnay/semver,https://github.com/dtolnay/dtolnay/semver,2014-07-30T15:01:22Z,2024-07-15,119,133,192,139,67,Yes,430,9
serialport/serialport-rs,https://github.com/serialport/serialport/serialport-rs,2022-02-07T19:56:13Z,2024-07-17,29,43,145,125,70,Yes,142,67
open-source-cooperative/keyring-rs,https://github.com/open-source-cooperative/open-source-cooperative/keyring-rs,2016-02-08T00:04:35Z,2024-07-14,101,115,155,113,30,Yes,273,38
