Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
Canop/termimad,https://github.com/Canop/Canop/termimad,2019-05-16T20:39:52Z,2024-07-25,62,75,27,44,13,Yes,21,0
foyer-rs/foyer,https://github.com/foyer-rs/foyer-rs/foyer,2023-05-12T03:02:26Z,2024-07-15,14,28,806,255,17,Yes,1622,159
swanandx/lemmeknow,https://github.com/swanandx/swanandx/lemmeknow,2021-08-29T12:08:19Z,,,48,7,27,6,No,0,0
g1mv/density,https://github.com/g1mv/g1mv/density,2013-10-05T15:35:37Z,2024-11-09,133,143,38,58,11,Yes,31,13
mrjackwills/oxker,https://github.com/mrjackwills/mrjackwills/oxker,2022-04-25T02:44:00Z,2024-08-01,27,40,14,57,10,Yes,10,3
toml-rs/toml-rs,https://github.com/toml-rs/toml-rs/toml-rs,2014-06-21T00:06:20Z,,,134,228,249,105,No,0,0
i3visio/solana-mev-bot,https://github.com/i3visio/i3visio/solana-mev-bot,2014-12-31T02:00:03Z,2025-08-16,127,128,25,0,11,Yes,2,11
rust-lang/flate2-rs,https://github.com/rust-lang/rust-lang/flate2-rs,2014-07-17T19:03:20Z,2024-08-03,121,133,250,235,108,Yes,241,42
JakWai01/lurk,https://github.com/JakWai01/JakWai01/lurk,2022-05-15T11:32:43Z,2024-07-21,26,39,43,24,16,Yes,17,4
ZenGo-X/multi-party-ecdsa,https://github.com/ZenGo-X/ZenGo-X/multi-party-ecdsa,2018-06-28T12:42:15Z,2024-07-15,73,86,97,120,28,Yes,0,410
tokio-rs/turmoil,https://github.com/tokio-rs/tokio-rs/turmoil,2022-08-03T23:38:19Z,2024-07-15,23,37,184,56,32,Yes,105,20
facebookexperimental/MIRAI,https://github.com/facebookexperimental/facebookexperimental/MIRAI,2018-11-06T20:56:35Z,2024-07-15,68,82,1144,130,23,Yes,16,0
RustAudio/dasp,https://github.com/RustAudio/RustAudio/dasp,2015-02-13T06:01:52Z,2024-09-10,115,126,114,75,23,Yes,3,4
dtolnay/serde-yaml,https://github.com/dtolnay/dtolnay/serde-yaml,2016-02-24T08:11:01Z,,,114,185,231,43,No,0,0
Razaekel/noise-rs,https://github.com/Razaekel/Razaekel/noise-rs,2013-07-30T01:42:23Z,2025-02-09,138,145,225,130,49,Yes,2,0
redox-os/orbtk,https://github.com/redox-os/redox-os/orbtk,2015-12-14T19:17:13Z,,,116,202,295,61,No,0,0
johanhelsing/matchbox,https://github.com/johanhelsing/johanhelsing/matchbox,2021-09-01T19:28:15Z,2024-07-11,34,48,366,152,33,Yes,448,70
crossterm-rs/crossterm,https://github.com/crossterm-rs/crossterm-rs/crossterm,2018-01-03T13:34:42Z,2024-07-29,79,92,496,510,184,Yes,129,30
tower-rs/tower,https://github.com/tower-rs/tower-rs/tower,2017-07-24T23:53:00Z,2024-07-19,84,97,615,222,105,Yes,188,27
sfackler/rust-postgres,https://github.com/sfackler/sfackler/rust-postgres,2013-07-23T04:43:50Z,2024-07-22,132,145,449,813,156,Yes,254,30
casbin/casbin-rs,https://github.com/casbin/casbin/casbin-rs,2019-08-14T04:42:36Z,2024-07-31,60,72,260,123,29,Yes,365,69
xacrimon/dashmap,https://github.com/xacrimon/xacrimon/dashmap,2019-12-06T21:48:39Z,2024-08-21,56,69,143,208,47,Yes,58,12
Findomain/Findomain,https://github.com/Findomain/Findomain/Findomain,2019-04-14T18:38:54Z,2025-04-20,72,76,176,162,22,Yes,116,65
ron-rs/ron,https://github.com/ron-rs/ron-rs/ron,2015-04-20T21:20:04Z,2024-07-21,111,124,334,245,64,Yes,320,67
rust-lang/rls,https://github.com/rust-lang/rust-lang/rls,2016-08-30T21:42:03Z,,,108,783,1001,161,No,0,0
rust-unofficial/too-many-lists,https://github.com/rust-unofficial/rust-unofficial/too-many-lists,2015-05-23T16:58:06Z,2024-07-30,110,123,186,134,79,Yes,2,0
oxipng/oxipng,https://github.com/oxipng/oxipng/oxipng,2016-01-11T15:45:39Z,2024-07-12,102,116,461,260,57,Yes,442,26
rkyv/rkyv,https://github.com/rkyv/rkyv/rkyv,2020-11-05T07:11:05Z,2024-07-17,44,58,173,449,84,Yes,664,147
chronotope/chrono,https://github.com/chronotope/chronotope/chrono,2014-03-28T11:38:39Z,2024-07-16,124,137,1046,675,250,Yes,895,208
lapce/floem,https://github.com/lapce/lapce/floem,2023-01-31T21:05:12Z,2024-07-16,17,31,626,189,67,Yes,713,134
Aloxaf/silicon,https://github.com/Aloxaf/Aloxaf/silicon,2019-07-07T14:50:55Z,2024-09-26,63,74,182,92,31,Yes,1,8
TimelyDataflow/timely-dataflow,https://github.com/TimelyDataflow/TimelyDataflow/timely-dataflow,2014-12-07T18:54:59Z,2024-07-23,116,129,522,181,65,Yes,636,53
tikv/raft-rs,https://github.com/tikv/tikv/raft-rs,2017-12-19T07:56:10Z,2024-09-05,81,92,381,162,88,Yes,26,27
TaKO8Ki/gobang,https://github.com/TaKO8Ki/TaKO8Ki/gobang,2021-06-12T04:41:33Z,,,51,103,65,9,No,0,0
Amanieu/parking_lot,https://github.com/Amanieu/Amanieu/parking_lot,2016-05-13T10:59:24Z,2025-01-13,104,111,263,225,120,Yes,34,8
racer-rust/racer,https://github.com/racer-rust/racer-rust/racer,2014-03-03T19:57:29Z,2024-07-15,124,138,583,602,176,Yes,0,410
YS-L/csvlens,https://github.com/YS-L/YS-L/csvlens,2021-08-14T16:59:09Z,2024-07-14,35,48,53,99,19,Yes,201,16
rust-itertools/itertools,https://github.com/rust-itertools/rust-itertools/itertools,2014-07-28T22:34:37Z,2024-07-15,120,133,650,402,178,Yes,126,95
greshake/i3status-rust,https://github.com/greshake/greshake/i3status-rust,2017-04-15T16:01:31Z,2024-07-22,87,100,1115,1078,293,Yes,394,15
Julien-cpsn/ATAC,https://github.com/Julien-cpsn/Julien-cpsn/ATAC,2024-02-05T19:57:09Z,2024-07-25,6,19,64,84,20,Yes,181,44
bastion-rs/bastion,https://github.com/bastion-rs/bastion-rs/bastion,2019-07-21T16:01:28Z,,,73,232,112,30,No,0,0
atanunq/viu,https://github.com/atanunq/atanunq/viu,2019-04-12T14:51:16Z,2024-10-13,66,77,46,90,17,Yes,7,0
rust-lang/hashbrown,https://github.com/rust-lang/rust-lang/hashbrown,2018-10-28T21:58:58Z,2024-07-14,68,82,435,206,125,Yes,232,68
zesterer/flume,https://github.com/zesterer/zesterer/flume,2019-07-30T15:58:22Z,2024-07-28,60,73,80,86,42,Yes,16,1
TimelyDataflow/differential-dataflow,https://github.com/TimelyDataflow/TimelyDataflow/differential-dataflow,2015-05-05T12:00:16Z,2024-09-09,112,124,461,177,41,Yes,668,115
juhaku/utoipa,https://github.com/juhaku/juhaku/utoipa,2021-09-30T22:00:31Z,2024-07-17,34,47,580,667,119,Yes,1014,245
dtolnay/cargo-expand,https://github.com/dtolnay/dtolnay/cargo-expand,2016-06-05T05:15:56Z,2024-07-15,97,111,119,130,13,Yes,987,31
hora-search/hora,https://github.com/hora-search/hora-search/hora,2021-05-15T07:46:32Z,,,51,17,30,6,No,0,0
RazrFalcon/cargo-bloat,https://github.com/RazrFalcon/RazrFalcon/cargo-bloat,2018-01-07T18:50:37Z,,,92,29,82,21,No,0,0
kognise/arpchat,https://github.com/kognise/kognise/arpchat,2022-03-21T03:29:09Z,,,41,5,18,3,No,0,0
solidiquis/erdtree,https://github.com/solidiquis/solidiquis/erdtree,2022-05-05T06:03:04Z,,,40,140,114,26,No,0,0
ihciah/shadow-tls,https://github.com/ihciah/ihciah/shadow-tls,2022-08-25T11:38:48Z,2024-12-04,27,36,10,109,8,Yes,2,6
suptejas/fleet,https://github.com/suptejas/suptejas/fleet,2022-04-14T10:20:34Z,,,40,18,48,9,No,0,0
TheDan64/inkwell,https://github.com/TheDan64/TheDan64/inkwell,2017-06-27T20:11:17Z,2024-07-17,85,98,260,324,100,Yes,373,75
tokio-rs/loom,https://github.com/tokio-rs/tokio-rs/loom,2018-12-15T06:11:47Z,2024-07-21,67,80,255,132,55,Yes,68,22
rust-lang/log,https://github.com/rust-lang/rust-lang/log,2014-12-13T21:45:04Z,2024-07-31,116,128,396,294,129,Yes,89,20
mikaelmello/inquire,https://github.com/mikaelmello/mikaelmello/inquire,2021-06-15T03:39:07Z,2024-08-29,38,50,125,154,27,Yes,19,61
rust-embedded/embedded-hal,https://github.com/rust-embedded/rust-embedded/embedded-hal,2017-06-09T20:57:29Z,2024-07-16,85,99,424,266,75,Yes,629,55
Keats/validator,https://github.com/Keats/Keats/validator,2016-12-27T05:32:07Z,2024-07-14,91,104,164,219,85,Yes,46,18
zkat/miette,https://github.com/zkat/zkat/miette,2021-08-03T02:30:49Z,2024-08-05,36,49,194,229,80,Yes,30,36
chinedufn/percy,https://github.com/chinedufn/chinedufn/percy,2018-07-16T11:14:12Z,2024-08-23,73,85,99,109,28,Yes,15,2
Jondolf/avian,https://github.com/Jondolf/Jondolf/avian,2022-05-29T11:28:38Z,2024-07-15,26,39,457,321,66,Yes,473,263
rajasekarv/vega,https://github.com/rajasekarv/rajasekarv/vega,2019-10-22T19:13:09Z,2025-04-07,66,70,69,65,22,Yes,0,1
kube-rs/kube,https://github.com/kube-rs/kube-rs/kube,2018-11-11T23:53:47Z,2024-07-15,68,82,1047,614,154,Yes,2490,530
memorysafety/river,https://github.com/memorysafety/memorysafety/river,2024-02-12T15:58:26Z,2024-07-15,5,18,39,49,3,Yes,60,3
shshemi/tabiew,https://github.com/shshemi/shshemi/tabiew,2024-04-27T16:21:19Z,2024-07-26,3,16,14,67,15,Yes,120,17
LukeMathWalker/cargo-chef,https://github.com/LukeMathWalker/LukeMathWalker/cargo-chef,2020-10-19T17:52:16Z,2024-07-15,45,58,129,185,62,Yes,804,74
vnt-dev/vnt,https://github.com/vnt-dev/vnt-dev/vnt,2023-01-03T14:08:46Z,2024-07-20,18,32,30,120,7,Yes,16,7
snapview/tokio-tungstenite,https://github.com/snapview/snapview/tokio-tungstenite,2017-03-17T17:15:58Z,2024-08-03,89,101,135,230,63,Yes,24,6
Xudong-Huang/may,https://github.com/Xudong-Huang/Xudong-Huang/may,2017-03-24T03:15:37Z,2024-07-25,88,101,21,98,12,Yes,50,20
rust-scraper/scraper,https://github.com/rust-scraper/rust-scraper/scraper,2016-01-01T21:45:09Z,2024-07-06,102,116,138,117,35,Yes,171,28
std-microblock/BetterNCM-Installer,https://github.com/std-microblock/std-microblock/BetterNCM-Installer,2022-04-16T09:28:50Z,2024-10-02,30,40,2,72,3,Yes,0,1
cjbassi/ytop,https://github.com/cjbassi/cjbassi/ytop,2019-07-20T00:36:33Z,,,73,28,86,12,No,0,0
zhiburt/tabled,https://github.com/zhiburt/zhiburt/tabled,2020-02-25T09:31:25Z,2024-07-13,53,66,295,259,52,Yes,444,232
Peternator7/strum,https://github.com/Peternator7/Peternator7/strum,2017-02-05T02:50:40Z,2025-02-01,96,103,226,221,116,Yes,28,9
indexmap-rs/indexmap,https://github.com/indexmap-rs/indexmap-rs/indexmap,2016-09-15T13:06:08Z,2024-07-26,94,107,268,141,53,Yes,187,4
Storyyeller/Krakatau,https://github.com/Storyyeller/Storyyeller/Krakatau,2012-10-20T01:36:08Z,2025-01-28,147,154,24,184,3,Yes,2,0
ntex-rs/ntex,https://github.com/ntex-rs/ntex-rs/ntex,2020-01-31T02:50:12Z,2025-04-01,62,67,437,140,257,Yes,1922,273
snapview/tungstenite-rs,https://github.com/snapview/snapview/tungstenite-rs,2017-03-17T15:38:17Z,2024-07-02,87,101,260,253,90,Yes,410,47
tokio-rs/bytes,https://github.com/tokio-rs/tokio-rs/bytes,2015-01-30T08:05:46Z,2024-07-21,114,127,501,294,123,Yes,206,37
rust-windowing/glutin,https://github.com/rust-windowing/rust-windowing/glutin,2014-07-27T07:13:16Z,2024-07-21,120,133,1050,661,219,Yes,112,40
microsoft/windows-drivers-rs,https://github.com/microsoft/microsoft/windows-drivers-rs,2023-09-16T21:45:21Z,2024-07-14,10,23,351,119,19,Yes,14403,2225
dtolnay/async-trait,https://github.com/dtolnay/dtolnay/async-trait,2019-07-22T19:21:13Z,2024-07-15,60,73,122,170,19,Yes,460,26
RustAudio/rodio,https://github.com/RustAudio/RustAudio/rodio,2015-07-22T11:38:27Z,2024-07-14,108,121,385,398,121,Yes,410,252
zesterer/ariadne,https://github.com/zesterer/zesterer/ariadne,2021-07-13T22:37:03Z,2024-08-05,37,49,68,82,38,Yes,13,24
rust-lang-nursery/lazy-static.rs,https://github.com/rust-lang-nursery/rust-lang-nursery/lazy-static.rs,2014-06-24T08:25:15Z,2024-07-18,121,134,110,120,61,Yes,13,1
EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/EmbarkStudios/cargo-deny,2019-05-13T07:50:05Z,2024-07-24,62,76,423,345,72,Yes,177,44
moka-rs/moka,https://github.com/moka-rs/moka-rs/moka,2020-04-05T17:18:18Z,2024-07-19,51,65,325,161,24,Yes,1585,116
ryanmcgrath/cacao,https://github.com/ryanmcgrath/ryanmcgrath/cacao,2020-02-28T04:07:41Z,2024-07-15,53,66,79,70,29,Yes,126,22
matklad/once_cell,https://github.com/matklad/matklad/once_cell,2018-08-02T00:00:59Z,2024-09-02,73,85,193,94,57,Yes,65,23
tafia/calamine,https://github.com/tafia/tafia/calamine,2016-06-24T10:44:23Z,2024-07-18,97,110,315,231,87,Yes,141,22
jonhoo/left-right,https://github.com/jonhoo/jonhoo/left-right,2017-02-04T20:44:56Z,2024-07-15,89,103,63,52,28,Yes,409,1
TheAlgorithms/Rust,https://github.com/TheAlgorithms/TheAlgorithms/Rust,2018-09-13T13:29:27Z,2024-07-15,70,83,830,74,240,Yes,1655,154
rustic-rs/rustic,https://github.com/rustic-rs/rustic-rs/rustic,2022-03-14T16:10:32Z,2024-07-13,28,41,900,424,42,Yes,4551,1124
HigherOrderCO/Bend,https://github.com/HigherOrderCO/HigherOrderCO/Bend,2023-08-29T20:44:32Z,2024-07-12,10,24,482,268,45,Yes,163,27
Rigellute/spotify-tui,https://github.com/Rigellute/Rigellute/spotify-tui,2019-08-16T19:31:53Z,,,72,594,565,107,No,0,0
0x192/universal-android-debloater,https://github.com/0x192/0x192/universal-android-debloater,2021-10-07T12:08:51Z,2024-12-03,38,47,299,803,50,Yes,0,1
rayon-rs/rayon,https://github.com/rayon-rs/rayon-rs/rayon,2014-10-02T15:38:05Z,2024-07-21,118,131,649,598,157,Yes,135,6
microsoft/edit,https://github.com/microsoft/microsoft/edit,2025-03-21T18:58:21Z,2025-05-28,2,5,267,340,61,Yes,184,19
orf/gping,https://github.com/orf/orf/gping,2015-10-17T14:34:25Z,2024-07-21,105,118,376,162,62,Yes,464,68
rathole-org/rathole,https://github.com/rathole-org/rathole-org/rathole,2021-12-14T05:03:07Z,2024-10-15,34,44,154,242,27,Yes,7,19
imsnif/bandwhich,https://github.com/imsnif/imsnif/bandwhich,2019-09-06T21:08:33Z,2024-07-22,58,72,290,178,52,Yes,82,137
fdehau/tui-rs,https://github.com/fdehau/fdehau/tui-rs,2016-11-08T09:19:25Z,,,106,377,300,97,No,0,0
cloudflare/pingora,https://github.com/cloudflare/cloudflare/pingora,2023-05-05T20:03:08Z,2024-07-15,14,28,315,335,69,Yes,1697,205
Spotifyd/spotifyd,https://github.com/Spotifyd/Spotifyd/spotifyd,2014-12-10T21:05:13Z,2024-09-05,117,129,537,801,129,Yes,54,28
seanmonstar/warp,https://github.com/seanmonstar/seanmonstar/warp,2018-07-11T17:43:50Z,2024-07-23,72,86,471,662,180,Yes,42,24
sharkdp/hexyl,https://github.com/sharkdp/sharkdp/hexyl,2018-11-05T22:53:35Z,2024-07-16,68,82,136,115,56,Yes,29,12
rust-bakery/nom,https://github.com/rust-bakery/rust-bakery/nom,2014-11-23T11:16:23Z,2024-07-18,116,129,919,941,385,Yes,141,47
RustCrypto/hashes,https://github.com/RustCrypto/RustCrypto/hashes,2016-11-18T07:40:17Z,2024-07-15,92,105,513,204,80,Yes,7106,550
serde-rs/serde,https://github.com/serde-rs/serde-rs/serde,2013-11-13T15:22:58Z,2024-07-15,128,141,1019,1892,198,Yes,600,165
jpochyla/psst,https://github.com/jpochyla/jpochyla/psst,2020-05-27T16:46:58Z,2024-07-14,50,63,259,389,76,Yes,277,251
actix/actix,https://github.com/actix/actix/actix,2017-09-18T05:13:28Z,2024-09-12,84,95,357,262,134,Yes,225,17
vi/websocat,https://github.com/vi/vi/websocat,2016-11-23T13:36:22Z,2024-08-16,93,105,45,249,24,Yes,13,11
mainmatter/100-exercises-to-learn-rust,https://github.com/mainmatter/mainmatter/100-exercises-to-learn-rust,2024-05-12T20:20:12Z,2024-07-17,2,16,206,87,52,Yes,101,127
dtolnay/anyhow,https://github.com/dtolnay/dtolnay/anyhow,2019-10-05T03:04:29Z,2024-07-15,57,71,188,221,24,Yes,509,41
sharkdp/pastel,https://github.com/sharkdp/sharkdp/pastel,2019-06-02T16:04:32Z,2024-08-01,62,75,133,130,47,Yes,48,14
rust-lang/futures-rs,https://github.com/rust-lang/rust-lang/futures-rs,2016-03-30T16:03:08Z,2024-07-15,99,113,1813,1151,358,Yes,371,262
ynqa/jnv,https://github.com/ynqa/ynqa/jnv,2024-03-18T13:33:43Z,2024-07-25,4,17,51,47,13,Yes,179,32
linkerd/linkerd2-proxy,https://github.com/linkerd/linkerd/linkerd2-proxy,2018-07-07T22:40:57Z,2024-07-15,72,86,4114,0,57,Yes,6192,768
flamegraph-rs/flamegraph,https://github.com/flamegraph-rs/flamegraph-rs/flamegraph,2019-03-07T16:31:30Z,2024-08-08,65,78,220,176,91,Yes,125,16
image-rs/image,https://github.com/image-rs/image-rs/image,2014-05-25T11:39:07Z,2024-07-05,121,135,1392,1109,359,Yes,346,360
serde-rs/json,https://github.com/serde-rs/serde-rs/json,2015-05-19T16:30:20Z,2024-07-15,110,123,504,772,141,Yes,617,61
WebAssembly/WASI,https://github.com/WebAssembly/WebAssembly/WASI,2019-04-02T18:23:05Z,2025-06-12,74,77,353,269,76,Yes,3,0
http-rs/tide,https://github.com/http-rs/http-rs/tide,2018-08-08T14:32:04Z,,,85,565,350,137,No,0,0
PaulJuliusMartinez/jless,https://github.com/PaulJuliusMartinez/PaulJuliusMartinez/jless,2021-04-24T05:35:41Z,2024-09-07,40,52,54,123,7,Yes,0,5
tealdeer-rs/tealdeer,https://github.com/tealdeer-rs/tealdeer-rs/tealdeer,2015-12-29T09:23:05Z,2024-07-16,103,116,261,169,73,Yes,157,52
console-rs/indicatif,https://github.com/console-rs/console-rs/indicatif,2017-04-23T13:54:48Z,2024-07-18,87,100,376,353,136,Yes,581,67
dtolnay/thiserror,https://github.com/dtolnay/dtolnay/thiserror,2019-10-09T06:20:06Z,2024-07-15,57,71,199,221,20,Yes,721,47
rhaiscript/rhai,https://github.com/rhaiscript/rhaiscript/rhai,2016-02-29T21:22:58Z,2024-07-16,100,114,527,466,60,Yes,63,65
dimforge/rapier,https://github.com/dimforge/dimforge/rapier,2020-08-25T20:05:14Z,2024-07-14,47,60,398,392,75,Yes,564,165
tokio-rs/tokio,https://github.com/tokio-rs/tokio-rs/tokio,2016-09-09T22:31:36Z,2024-07-14,94,108,4282,2525,948,Yes,7190,762
webrtc-rs/webrtc,https://github.com/webrtc-rs/webrtc-rs/webrtc,2019-08-15T06:18:40Z,2024-07-17,59,72,377,308,154,Yes,242,92
bytedance/monoio,https://github.com/bytedance/bytedance/monoio,2021-11-30T08:25:46Z,2024-06-24,31,45,221,120,48,Yes,347,83
ProvableHQ/leo,https://github.com/ProvableHQ/ProvableHQ/leo,2020-03-10T03:54:41Z,2024-07-16,52,66,2467,20866,76,Yes,1118,196
dtolnay/proc-macro-workshop,https://github.com/dtolnay/dtolnay/proc-macro-workshop,2019-03-27T14:18:16Z,2024-07-15,64,77,41,38,12,Yes,418,6
tokio-rs/mini-redis,https://github.com/tokio-rs/tokio-rs/mini-redis,2019-12-04T05:48:38Z,2024-07-18,55,69,112,42,32,Yes,7,1
smol-rs/smol,https://github.com/smol-rs/smol-rs/smol,2020-02-04T10:07:52Z,2024-07-21,53,67,179,140,38,Yes,116,17
async-rs/async-std,https://github.com/async-rs/async-rs/async-std,2019-08-08T12:52:13Z,2024-08-20,60,73,666,431,148,Yes,16,24
ivanceras/svgbob,https://github.com/ivanceras/ivanceras/svgbob,2016-10-09T06:33:27Z,2024-11-17,97,107,29,89,15,Yes,32,1
rust-ndarray/ndarray,https://github.com/rust-ndarray/rust-ndarray/ndarray,2014-08-04T09:27:53Z,2024-07-19,119,133,744,677,113,Yes,207,140
plotters-rs/plotters,https://github.com/plotters-rs/plotters-rs/plotters,2019-04-24T17:23:56Z,2024-07-16,63,76,291,342,107,Yes,623,46
youki-dev/youki,https://github.com/youki-dev/youki-dev/youki,2021-03-27T11:06:58Z,2024-07-14,40,53,2862,367,136,Yes,4974,901
quinn-rs/quinn,https://github.com/quinn-rs/quinn-rs/quinn,2018-04-03T07:47:41Z,2024-07-15,75,89,1635,731,161,Yes,1596,652
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch/meilisearch,2018-04-23T11:45:28Z,2024-07-01,74,88,2540,2308,227,Yes,6783,3190
n0-computer/iroh,https://github.com/n0-computer/n0-computer/iroh,2022-03-14T19:30:08Z,2024-07-13,28,41,2182,844,42,Yes,18533,3950
