Project,Bug Issues Before CI,Bug Issues After CI
facebookexperimental/MIRAI,81,0
rust-lang/flate2-rs,101,13
RustAudio/dasp,18,1
Razaekel/noise-rs,38,1
ZenGo-X/multi-party-ecdsa,35,1
johanhelsing/matchbox,58,9
tower-rs/tower,106,17
crossterm-rs/crossterm,269,33
sfackler/rust-postgres,426,24
casbin/casbin-rs,28,3
ron-rs/ron,90,13
xacrimon/dashmap,69,10
Findomain/Findomain,62,0
rkyv/rkyv,161,39
TimelyDataflow/timely-dataflow,84,6
rust-unofficial/too-many-lists,44,5
chronotope/chrono,281,18
lapce/floem,45,30
Aloxaf/silicon,38,6
racer-rust/racer,326,0
tikv/raft-rs,67,3
oxipng/oxipng,90,12
Amanieu/parking_lot,100,6
YS-L/csvlens,17,8
greshake/i3status-rust,465,31
rust-itertools/itertools,100,13
Julien-cpsn/ATAC,15,17
atanunq/viu,23,0
petgraph/petgraph,137,38
juhaku/utoipa,220,149
zesterer/flume,30,3
rust-lang/hashbrown,75,19
dtolnay/cargo-expand,68,1
ihciah/shadow-tls,21,3
TheDan64/inkwell,159,21
TimelyDataflow/differential-dataflow,74,15
tokio-rs/loom,54,8
rust-lang/log,150,12
mikaelmello/inquire,51,11
kube-rs/kube,304,54
Keats/validator,113,10
rust-embedded/embedded-hal,112,14
chinedufn/percy,44,3
zkat/miette,136,18
rajasekarv/vega,13,0
memorysafety/river,5,3
Jondolf/avian,72,71
vnt-dev/vnt,9,8
LukeMathWalker/cargo-chef,98,15
snapview/tokio-tungstenite,117,9
shshemi/tabiew,4,24
zhiburt/tabled,51,13
std-microblock/BetterNCM-Installer,4,0
Xudong-Huang/may,17,3
Peternator7/strum,83,11
rust-scraper/scraper,29,13
Storyyeller/Krakatau,118,0
indexmap-rs/indexmap,38,6
snapview/tungstenite-rs,99,18
tokio-rs/bytes,112,13
rust-windowing/glutin,280,7
microsoft/windows-drivers-rs,25,30
dtolnay/async-trait,127,10
moka-rs/moka,53,15
EmbarkStudios/cargo-deny,172,45
zesterer/ariadne,41,8
ryanmcgrath/cacao,29,5
rust-lang-nursery/lazy-static.rs,57,0
matklad/once_cell,33,2
RustAudio/rodio,116,51
tafia/calamine,92,26
jonhoo/left-right,21,0
rustic-rs/rustic,159,81
ntex-rs/ntex,44,25
rust-unofficial/awesome-rust,17,2
TheAlgorithms/Rust,15,4
cloudflare/pingora,74,86
