Project,Bug Issues Before CI,Bug Issues After CI
console-rs/indicatif,106,14
dtolnay/thiserror,173,38
rhaiscript/rhai,195,28
dimforge/rapier,141,37
tokio-rs/tokio,1227,174
webrtc-rs/webrtc,104,25
bytedance/monoio,22,15
ProvableHQ/leo,107,123
dtolnay/proc-macro-workshop,16,0
tokio-rs/mini-redis,10,1
smol-rs/smol,43,3
async-rs/async-std,170,3
ivanceras/svgbob,32,0
rust-ndarray/ndarray,196,17
plotters-rs/plotters,185,23
youki-dev/youki,144,37
quinn-rs/quinn,257,71
meilisearch/meilisearch,1235,276
n0-computer/iroh,233,112
