name,Last Commit Date,Total Commits (since inception),Avg Commits/Weekday (Mon–Fri)
esp-rs/esp-idf-hal,2025-08-16,920,0.38
rust-lang/git2-rs,2025-08-16,1786,0.5
fornwall/rust-script,2025-08-16,636,0.16
kbknapp/cargo-outdated,2025-08-16,511,0.15
nats-io/nats.rs,2025-08-16,1861,1.22
TimelyDataflow/timely-dataflow,2025-08-16,1639,0.48
TimelyDataflow/differential-dataflow,2025-08-16,1449,0.41
TheDan64/inkwell,2025-08-16,1300,0.44
rust-embedded/svd2rust,2025-08-15,1524,0.45
microsoft/Nova,2025-08-15,314,0.29
sharksforarms/deku,2025-08-15,475,0.3
ntex-rs/ntex,2025-08-15,4949,1.81
snapview/tungstenite-rs,2025-08-15,624,0.23
cloudflare/pingora,2025-08-15,407,0.65
orf/gping,2025-08-15,722,0.2
async-rs/async-std,2025-08-15,1677,0.82
rust-fuzz/arbitrary,2025-08-14,399,0.17
tauri-apps/window-vibrancy,2025-08-14,154,0.14
bytedance/monoio,2025-08-14,202,0.19
magic-wormhole/magic-wormhole.rs,2025-08-13,959,0.32
gimli-rs/object,2025-08-13,1044,0.34
paupino/rust-decimal,2025-08-13,1014,0.31
BurntSushi/bstr,2025-08-12,243,0.1
paritytech/jsonrpsee,2025-08-12,911,0.57
JelteF/derive_more,2025-08-12,780,0.19
rust-random/rand,2025-08-12,3361,0.69
jakobhellermann/bevy-inspector-egui,2025-08-12,880,0.48
rkyv/rkyv,2025-08-12,985,0.6
WebAssembly/WASI,2025-08-12,431,0.25
lucaspoffo/renet,2025-08-11,515,0.22
rust-secure-code/cargo-auditable,2025-08-11,864,0.33
typst/pdf-writer,2025-08-11,217,0.14
pop-os/cosmic-text,2025-08-11,745,0.91
uuid-rs/uuid,2025-08-11,1707,0.43
Amanieu/parking_lot,2025-08-11,920,0.29
sourcefrog/cargo-mutants,2025-08-10,1907,1.02
tqwewe/kameo,2025-08-10,328,0.69
mmastrac/rust-ctor,2025-08-10,295,0.13
hahwul/jwt-hack,2025-08-10,274,0.17
pacak/cargo-show-asm,2025-08-10,850,0.75
smol-rs/polling,2025-08-10,297,0.14
greyblake/nutype,2025-08-10,596,0.33
zhiburt/tabled,2025-08-10,1568,0.86
actix/actix,2025-08-10,1125,0.43
skyzh/type-exercise-in-rust,2025-08-09,59,0.05
osa1/tiny,2025-08-09,1083,0.22
tokio-rs/slab,2025-08-08,128,0.03
dimforge/parry,2025-08-08,564,0.3
rust-windowing/gl-rs,2025-08-08,978,0.21
kaist-cp/cs431,2025-08-08,342,0.18
dimforge/rapier,2025-08-08,1233,0.67
yaa110/nomino,2025-08-07,90,0.04
tafia/calamine,2025-08-07,915,0.33
mcginty/snow,2025-08-06,598,0.18
zcash/halo2,2025-08-06,2631,1.79
ibraheemdev/papaya,2025-08-06,181,0.6
boinkor-net/governor,2025-08-06,587,0.25
RustCrypto/block-ciphers,2025-08-06,551,0.21
KipData/KiteSQL,2025-08-06,258,0.34
Nukesor/comfy-table,2025-08-05,580,0.26
tealdeer-rs/tealdeer,2025-08-05,536,0.12
dimforge/bevy_rapier,2025-08-04,799,0.4
oconnor663/duct.rs,2025-08-03,352,0.12
PistonDevelopers/glfw-rs,2025-08-03,1279,0.26
kevinmehall/rust-peg,2025-08-03,615,0.11
vorner/arc-swap,2025-08-03,407,0.11
rust-itertools/itertools,2025-08-03,2164,0.59
messense/jieba-rs,2025-08-01,340,0.13
orhun/halp,2025-08-01,585,0.85
Kobzol/cargo-pgo,2025-08-01,145,0.16
XAMPPRocky/octocrab,2025-08-01,638,0.37
RoaringBitmap/roaring-rs,2025-07-31,1084,0.3
Xuanwo/backon,2025-07-30,117,0.13
johanhelsing/matchbox,2025-07-30,999,0.71
tikv/pprof-rs,2025-07-29,213,0.14
tokio-rs/turmoil,2025-07-29,179,0.22
rathole-org/rathole,2025-07-29,233,0.17
Cretezy/lazyjj,2025-07-28,110,0.22
rust-analyzer/rowan,2025-07-27,349,0.15
bnjbvr/rouille,2025-07-27,66,0.05
bitshifter/glam-rs,2025-07-26,1113,0.49
jpochyla/psst,2025-07-26,623,0.41
statrs-dev/statrs,2025-07-25,907,0.29
crossterm-rs/crossterm,2025-07-25,740,0.23
jam1garner/binrw,2025-07-24,942,0.46
Axect/Peroxide,2025-07-24,1821,0.75
vi/websocat,2025-07-24,747,0.24
google/argh,2025-07-23,137,0.08
rust-cv/cv,2025-07-22,816,0.3
tower-rs/tower,2025-07-22,601,0.24
samwho/spacer,2025-07-21,116,0.12
ynqa/jnv,2025-07-21,246,0.45
rust-lang/flate2-rs,2025-07-20,774,0.22
Peternator7/strum,2025-07-19,333,0.06
rust-lang/futures-rs,2025-07-19,3460,1.18
tesselode/kira,2025-07-18,1180,0.52
Leafwing-Studios/leafwing-input-manager,2025-07-18,556,0.4
rharish101/ReGreet,2025-07-18,222,0.14
rust-lang/log,2025-07-18,918,0.23
valpackett/systemstat,2025-07-16,197,0.06
ilai-deutel/kibi,2025-07-15,351,0.21
jacobdeichert/mask,2025-07-15,352,0.15
hyperium/http,2025-07-15,461,0.2
smartcorelib/smartcore,2025-07-12,419,0.22
cessen/ropey,2025-07-12,570,0.19
yassinebridi/serpl,2025-07-11,135,0.21
regolith-labs/ore-cli,2025-07-11,446,0.94
Julien-cpsn/ATAC,2025-07-10,437,0.78
imsnif/bandwhich,2025-07-10,640,0.31
console-rs/indicatif,2025-07-10,810,0.32
barter-rs/barter-rs,2025-07-08,479,0.29
retrage/gpt-macro,2025-07-07,55,0.06
seanmonstar/num_cpus,2025-07-07,177,0.06
tokio-rs/tokio-uring,2025-07-07,147,0.11
smol-rs/async-channel,2025-07-06,122,0.06
stepchowfun/docuum,2025-07-06,658,0.35
est31/cargo-udeps,2025-07-06,566,0.29
servo/rust-smallvec,2025-07-06,498,0.15
mdeloof/statig,2025-07-05,164,0.11
rgwood/systemctl-tui,2025-07-05,222,0.28
JakWai01/lurk,2025-07-04,217,0.16
