name,Runs Analyzed,Broken >2 Days,Broken >4 Days,Max Broken Days
sea-query,500,0,0,1
enigo,500,0,0,1
rust-script,80,0,0,0
dialoguer,20,0,0,0
cs431,39,0,0,0
rust-derive-builder,114,1,1,10
moonwalk,0,,,
io-uring,130,3,3,26
mask,32,1,1,13
quote,468,0,0,2
cargo-semver-checks,500,0,0,2
bevy-inspector-egui,98,6,5,42
zemeroth,0,,,
bevy_rapier,438,12,8,45
type-exercise-in-rust,0,,,
rppal,57,0,0,0
tickrs,31,1,1,181
typetag,494,0,0,2
quick-xml,290,6,5,34
glow,98,3,2,16
dnspeep,0,,,
rust_libloading,35,1,1,160
ttyper,37,0,0,0
systeroid,203,2,2,31
russh,500,0,0,1
yas,11,1,1,360
paperback,500,0,0,2
tempfile,375,3,1,6
combine,4,0,0,0
cargo-outdated,58,5,5,89
tokio-uring,11,2,2,338
bitvec,0,,,
ferium,43,5,5,39
sshs,46,3,2,141
netscanner,42,0,0,1
msgpack-rust,2,1,1,203
apkeep,14,0,0,0
markdown-rs,116,2,0,4
notify-rust,258,1,1,23
tdf,88,4,4,33
nat,0,,,
http,77,1,1,12
deku,500,0,0,0
big-brain,16,1,0,4
nats.rs,500,9,8,13
cargo-bundle,63,2,2,232
octocrab,358,4,4,30
pdfrip,3,0,0,0
auto-commit,0,,,
binocle,8,2,2,218
tower-lsp,0,,,
time,158,11,8,8
codespan,189,1,1,33
inline-python,23,0,0,0
graphql-client,500,1,0,3
divan,27,1,1,32
cherrybomb,3,1,1,315
nucleo,61,2,1,168
cgmath,63,1,1,7
comfy-table,319,6,5,10
osintui,48,1,1,7
postcard,172,4,3,15
message-io,5,1,1,56
cmd-wrapped,24,0,0,1
darling,500,2,0,4
inventory,463,1,1,5
dotter,12,1,1,5
raqote,3,1,1,197
core-foundation-rs,161,4,3,197
no-panic,459,0,0,0
lapin,500,0,0,2
cargo-modules,500,0,0,0
hecs,274,1,1,11
fake-rs,126,6,6,72
aho-corasick,428,0,0,0
uom,264,4,3,81
rust_cmd_lib,39,0,0,0
uuid,500,0,0,1
rust-decimal,98,3,2,29
xargo,1,0,0,0
foyer,500,0,0,1
pg_jsonschema,80,3,3,24
fuse-rs,0,,,
diskus,11,1,1,87
encrypted-dns-server,500,1,1,9
tiny,29,2,2,6
dropshot,500,2,1,6
bellman,7,1,1,408
oauth2-rs,434,0,0,0
log4rs,316,1,1,29
async-raft,0,,,
arc-swap,347,7,3,6
dune,3,1,1,151
rust-typed-builder,45,0,0,0
riker,410,4,1,5
cargo-machete,140,4,4,33
vgtk,27,1,1,409
paste,91,0,0,1
byteorder,420,0,0,1
systemctl-tui,9,0,0,0
vst-rs,0,,,
langchain-rust,238,12,11,17
bitflags,121,2,1,5
matchbox,500,2,1,7
rust-gc,23,0,0,0
multi-party-ecdsa,411,1,1,410
rxRust,12,0,0,0
flate2-rs,284,3,2,11
design-patterns-rust,4,1,0,3
termimad,21,0,0,0
density,44,1,1,6
lemmeknow,0,,,
turmoil,125,1,0,3
oxker,13,1,1,53
toml-rs,0,,,
solana-mev-bot,13,1,1,8
lurk,21,1,1,55
MIRAI,16,0,0,0
dasp,7,1,1,294
casbin-rs,447,4,2,32
serde-yaml,0,,,
noise-rs,2,0,0,0
tower,215,3,3,14
orbtk,0,,,
rust-postgres,286,0,0,1
crossterm,169,3,2,62
floem,500,4,3,11
ron,395,1,1,14
chrono,500,0,0,2
dashmap,70,3,3,43
Findomain,182,1,1,98
rkyv,500,9,6,17
timely-dataflow,500,2,1,6
rls,0,,,
too-many-lists,2,0,0,0
oxipng,496,1,0,3
kube,500,0,0,0
racer,410,1,1,409
silicon,11,1,1,336
utoipa,500,5,5,70
raft-rs,53,2,2,161
gobang,0,,,
parking_lot,42,1,1,127
i3status-rust,411,0,0,1
csvlens,230,0,0,0
itertools,223,11,9,13
ATAC,230,5,4,21
cargo-expand,500,0,0,1
viu,7,0,0,0
bastion,0,,,
differential-dataflow,500,0,0,2
hashbrown,300,3,1,5
flume,17,1,1,10
inkwell,462,1,0,4
hora,0,,,
cargo-bloat,0,,,
arpchat,0,,,
rustic,500,0,0,1
erdtree,0,,,
shadow-tls,8,2,2,141
loom,91,2,2,77
fleet,0,,,
log,109,1,1,7
ntex,500,0,0,0
embedded-hal,500,2,2,9
inquire,80,5,4,103
avian,500,4,2,6
validator,64,3,2,31
miette,66,4,4,83
percy,17,0,0,2
cargo-chef,500,0,0,0
vega,1,1,1,142
tabled,500,0,0,2
river,69,0,0,1
tabiew,146,2,2,41
vnt,24,0,0,0
tokio-tungstenite,30,2,1,9
scraper,199,6,6,7
may,70,1,1,40
tungstenite-rs,456,1,1,27
BetterNCM-Installer,1,1,1,329
ytop,0,,,
indexmap,191,1,0,3
strum,37,1,1,39
Krakatau,2,0,0,0
hashes,500,0,0,0
bytes,244,3,2,7
moka,500,7,7,6
linkerd2-proxy,500,0,0,0
glutin,152,4,4,70
rodio,500,6,1,7
async-trait,487,0,0,2
cargo-deny,242,2,2,19
ariadne,37,5,5,132
lazy-static.rs,14,0,0,1
cacao,148,1,1,168
once_cell,88,1,1,28
left-right,415,0,0,0
calamine,187,2,1,12
meilisearch,500,0,0,0
tokio,500,0,0,0
Rust,500,0,0,0
pingora,500,0,0,0
Bend,190,7,2,87
spotify-tui,0,,,
universal-android-debloater,1,1,1,268
rayon,141,1,1,6
edit,209,2,0,4
gping,500,0,0,2
rathole,32,1,1,132
bandwhich,223,13,13,70
tui-rs,0,,,
spotifyd,86,4,3,142
warp,69,3,2,94
serde,500,2,1,65
hexyl,51,3,3,35
nom,188,2,1,6
psst,500,10,6,25
actix,275,1,1,7
100-exercises-to-learn-rust,229,8,7,69
websocat,25,4,4,75
youki,500,0,0,0
iroh,500,0,0,0
anyhow,500,1,1,5
pastel,63,4,4,31
futures-rs,500,15,12,22
jnv,213,3,3,71
flamegraph,141,2,1,11
image,500,7,5,42
json,0,,,
tealdeer,0,,,
WASI,0,,,
tide,0,,,
jless,0,,,
thiserror,0,,,
indicatif,0,,,
leo,0,,,
rhai,0,,,
rapier,0,,,
webrtc,0,,,
monoio,0,,,
proc-macro-workshop,0,,,
quinn,0,,,
smol,0,,,
mini-redis,0,,,
plotters,0,,,
async-std,0,,,
svgbob,0,,,
ndarray,0,,,
